England,,,Henry,Howard,,Male,"Henry Howard styled Lord Walden, eldest son of Henry Earl of Suffolk",Earldom,Bindon,,,Hereditary peerage,1706-12-30,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 32",,,FALSE,
England,,,Henry,Howard,,Male,"Henry Howard styled Lord Walden, eldest son of Henry Earl of Suffolk",Barony,Chesterford,,,Hereditary peerage,1706-12-30,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 32",,,FALSE,
England,,,Hugh,,,Male,Hugh Viscount Cholmondeley (I) and Lord Cholmondeley (E),Earldom,Cholmondeley,1,SR to Hon. George Cholmondeley and hm,Promotion,1706-12-27,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 33; dated 29 (sic) Dec. in CP, iii, 201",Viscountcy,Cholmondeley,FALSE,
England,,,Hugh,,,Male,Hugh Viscount Cholmondeley (I) and Lord Cholmondeley (E),Viscountcy,Malpas,1,SR to Hon. George Cholmondeley and hm,Promotion,1706-12-27,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 33; dated 29 (sic) Dec. in CP, iii, 201",Viscountcy,Cholmondeley,FALSE,
England,,,Sidney,,,Male,,Earldom,Godolphin,,,Promotion,1706-12-26,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 34",Barony,Godolphin,FALSE,
England,,,Sidney,,,Male,,Viscountcy,Rialton,,,Promotion,1706-12-26,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 34",Barony,Godolphin,FALSE,
England,,,John,,,Male,,Earldom,Poulett,,,Promotion,1706-12-24,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 36",Barony,Poulett,FALSE,
England,,,John,,,Male,,Viscountcy,Hinton,,,Promotion,1706-12-24,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 36",Barony,Poulett,FALSE,
England,,,Thomas,,,Male,,Earldom,Wharton,,,Promotion,1706-12-23,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 35",Barony,Wharton,FALSE,
England,,,Thomas,,,Male,,Viscountcy,Winchendon,,,Promotion,1706-12-23,"C 231/9, p. 149; 5 Ann., pt. 1 (C 66/3453) no. 35",Barony,Wharton,FALSE,
England,,,Evelyn,,,Male,,Marquessate,Dorchester,1,SR to uncle Gervase Lord Pierrepont (I) and hm,Promotion,1706-12-23,"C 231/9, p. 148; 5 Ann., pt. 1 (C 66/3453) no. 37",Earldom,Kingston,TRUE,
England,,,Robert,,,Male,,Marquessate,Lindsey,3,SR to hm of late father Robert Earl of Lindsey by wife Elizabeth Wharton,Promotion,1706-12-21,"C 231/9, p. 148; 5 Ann., pt. 1 (C 66/3453) no. 38",Earldom,Lindsey,TRUE,
